TIME,NAME,PREV_CLOSE,CLOSE,OPEN,HIGH,LOW,AVG,CHG,CHG_PCT,ACUM_CHG_PCT,VOL,AMT,TRN_RT,TICK
05/03/2018,AUDUSD.FX,0.776,0.7765,0.7761,0.7777,0.7726,#E?????,0.0005,0.06,#E?????,#E?????,#E?????,#E?????,#E?????
02/03/2018,AUDUSD.FX,0.7756,0.776,0.7756,0.7774,0.7738,#E?????,0.0004,0.05,#E?????,#E?????,#E?????,#E?????,#E?????
01/03/2018,AUDUSD.FX,0.7762,0.7756,0.7762,0.777,0.7713,#E?????,-0.0006,-0.08,#E?????,#E?????,#E?????,#E?????,#E?????
28/02/2018,AUDUSD.FX,0.7789,0.7762,0.7789,0.7819,0.7761,#E?????,-0.0027,-0.35,#E?????,#E?????,#E?????,#E?????,#E?????
27/02/2018,AUDUSD.FX,0.7855,0.7789,0.7855,0.7869,0.7784,#E?????,-0.0066,-0.84,#E?????,#E?????,#E?????,#E?????,#E?????
26/02/2018,AUDUSD.FX,0.7843,0.7855,0.7841,0.7893,0.7826,#E?????,0.0012,0.15,#E?????,#E?????,#E?????,#E?????,#E?????
23/02/2018,AUDUSD.FX,0.7846,0.7843,0.7846,0.7847,0.7804,#E?????,-0.0003,-0.04,#E?????,#E?????,#E?????,#E?????,#E?????
22/02/2018,AUDUSD.FX,0.7804,0.7846,0.7804,0.786,0.7791,#E?????,0.0042,0.54,#E?????,#E?????,#E?????,#E?????,#E?????
21/02/2018,AUDUSD.FX,0.7883,0.7804,0.7883,0.7901,0.7803,#E?????,-0.0079,-1,#E?????,#E?????,#E?????,#E?????,#E?????
20/02/2018,AUDUSD.FX,0.7913,0.7883,0.7913,0.7934,0.7874,#E?????,-0.003,-0.38,#E?????,#E?????,#E?????,#E?????,#E?????
19/02/2018,AUDUSD.FX,0.7905,0.7913,0.7912,0.7935,0.7898,#E?????,0.0008,0.1,#E?????,#E?????,#E?????,#E?????,#E?????
16/02/2018,AUDUSD.FX,0.7945,0.7905,0.7945,0.7988,0.7893,#E?????,-0.004,-0.5,#E?????,#E?????,#E?????,#E?????,#E?????
15/02/2018,AUDUSD.FX,0.7926,0.7945,0.7926,0.7967,0.7892,#E?????,0.0019,0.24,#E?????,#E?????,#E?????,#E?????,#E?????
14/02/2018,AUDUSD.FX,0.7859,0.7926,0.7859,0.7934,0.7773,#E?????,0.0067,0.85,#E?????,#E?????,#E?????,#E?????,#E?????
13/02/2018,AUDUSD.FX,0.7862,0.7859,0.7862,0.7877,0.7828,#E?????,-0.0003,-0.04,#E?????,#E?????,#E?????,#E?????,#E?????
