CLOSE_AUDUSD.FX,CLOSE_EURUSD.FX,CLOSE_GBPUSD.FX,CLOSE_NZDUSD.FX,CLOSE_USDCAD.FX,CLOSE_USDCHF.FX,CLOSE_USDCNH.FX,CLOSE_USDCNY.FX,CLOSE_USDDKK.FX,CLOSE_USDHKD.FX,CLOSE_USDJPY.FX,CLOSE_USDNOK.FX,CLOSE_USDSEK.FX
0.7765,1.2336,1.3849,0.7226,1.2964,0.9399,6.3349,6.3496,6.0385,7.832000000000001,106.2,7.8196,8.2621
0.7759999999999999,1.2317,1.3802,0.7236,1.2882,0.9374,6.3407,6.3454,6.0465,7.8308,105.75,7.7901,8.2446
0.7756,1.2267,1.3776,0.7249,1.2837,0.9418,6.3475,6.3582,6.0711,7.827999999999999,106.24,7.8466,8.2489
0.7762,1.2194,1.376,0.7212,1.2831,0.9446,6.3311,6.331,6.1066,7.8261,106.68,7.9011,8.2911
0.7789,1.2233,1.3909,0.7235,1.2776,0.9389,6.3264,6.3169,6.0867,7.8276,107.33,7.8682,8.2253
0.7855,1.2317,1.3968,0.7303,1.2681,0.938,6.2946,6.3161,6.0445,7.8234,106.93,7.8235,8.1512
0.7843,1.2295,1.3971,0.7302,1.2633,0.9361,6.3262,6.3372,6.0556,7.8233,106.89,7.8518,8.1731
0.7846,1.2329999999999999,1.3956,0.7342,1.2705,0.9329,6.3343,6.3527,6.0399,7.8243,106.75,7.8534,8.116
0.7804,1.2284,1.3918,0.7319,1.2703,0.9390000000000001,6.3376,6.3421,6.0629,7.8253,107.78,7.8679,8.1189
0.7883,1.2337,1.3996,0.7348,1.2648,0.9361,6.3405,6.3415,6.0362,7.8245,107.33,7.8409,8.0964
0.7913,1.2407,1.4,0.7372,1.2561,0.9295,6.3054,6.341,6.0023,7.8218,106.59,7.7797,7.9845
0.7905,1.2406,1.4026,0.7386,1.2558,0.927,6.2987,6.3275,6.0044,7.8209,106.21,7.781000000000001,7.9688
0.7945,1.2506,1.4099,0.7407,1.2481,0.922,6.2823,6.3032,5.9563,7.8203,106.13,7.766,7.9345
0.7926,1.2451,1.3999,0.7366,1.2493,0.9294,6.3126,6.3298,5.984,7.8224,107.01,7.7999,7.9554
